Date,AMD,ANET,AVGO,COHR,EQIX,GLD,GOOG,LITE,MRVL,SNDR,VRT
2025-08-08,172.75999450683594,139.17999267578125,303.2308654785156,115.44000244140625,762.6927490234375,313.04998779296875,201.63583374023438,116.2699966430664,77.23324584960938,23.703763961791992,139.8050994873047
2025-08-11,172.27999877929688,137.64999389648438,302.1669616699219,113.5999984741211,763.233154296875,308.54998779296875,201.1768798828125,115.02999877929688,77.17333984375,23.3577938079834,139.7052001953125
2025-08-12,174.9499969482422,141.25,311.0460205078125,116.55999755859375,773.6192016601562,308.2699890136719,203.70118713378906,119.66000366210938,77.70260620117188,24.316621780395508,143.59173583984375
2025-08-13,184.4199981689453,138.00999450683594,307.3273620605469,114.01000213623047,770.3569946289062,309.2099914550781,202.57371520996094,120.2300033569336,79.21052551269531,24.95913314819336,137.27735900878906
2025-08-14,180.9499969482422,136.47999572753906,309.4552001953125,91.6500015258789,761.8771362304688,307.25,203.36196899414062,114.62000274658203,78.930908203125,24.43523597717285,132.4017333984375
2025-08-15,177.50999450683594,137.3000030517578,304.59307861328125,93.4000015258789,767.7138061523438,307.42999267578125,204.4495086669922,115.86000061035156,76.08484649658203,24.168350219726562,132.9512481689453
2025-08-18,176.13999938964844,138.0399932861328,304.0163879394531,90.48999786376953,756.2567138671875,306.95001220703125,203.8308868408203,118.9800033569336,76.63407897949219,24.099153518676758,135.56890869140625
2025-08-19,166.5500030517578,132.77999877929688,293.2282409667969,87.76000213623047,760.0004272460938,305.2699890136719,202.03494262695312,117.95999908447266,71.97052764892578,24.702129364013672,128.934814453125
2025-08-20,165.1999969482422,131.47000122070312,289.50958251953125,86.55000305175781,767.4345703125,308.3599853515625,199.74009704589844,115.88999938964844,71.1217041015625,24.000308990478516,127.4261703491211
2025-08-21,163.7100067138672,132.02999877929688,287.9485168457031,86.5999984741211,763.38134765625,307.2900085449219,200.16912841796875,117.43000030517578,71.1117172241211,24.14858055114746,126.46702575683594
2025-08-22,167.75999450683594,133.25,292.3233947753906,89.9000015258789,777.4984130859375,310.5799865722656,206.25543212890625,119.33999633789062,72.89924621582031,25.048097610473633,125.85757446289062
2025-08-25,163.36000061035156,133.0399932861328,292.5521240234375,90.5,773.4551391601562,309.8299865722656,208.68995666503906,123.41999816894531,72.84931182861328,24.524202346801758,124.90841674804688
2025-08-26,166.6199951171875,134.27000427246094,296.310546875,91.58000183105469,772.871826171875,312.0799865722656,207.48265075683594,124.62000274658203,74.15750885009766,24.67247200012207,127.8158187866211
2025-08-27,167.1300048828125,133.27000427246094,298.53778076171875,90.70999908447266,781.5418090820312,312.7099914550781,207.74208068847656,125.83999633789062,74.68677520751953,24.652706146240234,129.194580078125
2025-08-28,168.5800018310547,136.22999572753906,306.8898620605469,95.19999694824219,777.3798217773438,315.0299987792969,211.89273071289062,135.5500030517578,77.1234130859375,24.35616111755371,134.11019897460938
2025-08-29,162.6300048828125,136.5500030517578,295.6941223144531,90.47000122070312,777.2216796875,318.07000732421875,213.05010986328125,132.80999755859375,62.783226013183594,24.43523597717285,127.43616485595703
