Date,portfolio,spy
2025-08-11,0.07517641813685172,-0.001977636249400061
2025-08-12,0.020742369107122016,0.01064611548617389
2025-08-13,0.006810711474812159,0.003423147456803166
2025-08-14,-0.029980406111487556,9.306090191762983e-05
2025-08-15,-0.005483619583393495,-0.002341289856780504
2025-08-18,-0.0013391152738928547,-0.00021763143719122358
2025-08-19,-0.028772542124537948,-0.005425130066677553
2025-08-20,-0.009317898496132737,-0.0026569874257287296
2025-08-21,-0.0015962554836145282,-0.004011918361787603
2025-08-22,0.020539020318931067,0.015356692851615561
2025-08-25,-0.004428706145824579,-0.004400967127286992
2025-08-26,0.011309478972037823,0.004187036349890594
2025-08-27,0.0031929362882108236,0.0022785132820093423
2025-08-28,0.022179824419118033,0.003541457922389135
2025-08-29,-0.032720814922363006,-0.00596377589262187
2025-09-02,-0.004030990471496465,-0.007410295555874358
2025-09-03,0.009058456524293046,0.0054195597134076845
2025-09-04,0.01766280595229297,0.008357456059411517
2025-09-05,0.002356074683323106,-0.002896337864108256
2025-09-08,0.0032711912353022843,0.0024567323434192545
2025-09-09,0.011957374518867248,0.002311825610804119
2025-09-10,0.036137616329410926,0.0028908542790047065
2025-09-11,-0.003106433206848558,0.00831017035594428
2025-09-12,-0.008035690743350199,-0.00033461294314696133
2025-09-15,0.02106824220762271,0.00532395242093231
2025-09-16,-0.003964928591046357,-0.0013767927852816886
2025-09-17,-0.011527954700420895,-0.0012424352925487492
2025-09-18,0.015336833158987151,0.004672445142330561
2025-09-19,0.0016578194757268516,0.004952874775331795
2025-09-22,0.005798136836854706,0.004731100453688297
2025-09-23,-0.008594296225296283,-0.005443566388828813
2025-09-24,-0.00958443206697246,-0.003181633452613908
2025-09-25,0.004968900550929023,-0.0046134974884719515
2025-09-26,-0.0015035222077701693,0.005729144366994454
2025-09-29,0.003571803967594933,0.0028103664411398555
2025-09-30,0.008567302316253134,0.0037668667591117533
2025-10-01,0.02029566703222585,0.0034074772846366397
2025-10-02,0.005647431499539168,0.0011518035371931301
2025-10-03,-0.006019174104748615,-1.4767362221723701e-05
2025-10-06,0.05527107525073416,0.003586228910335887
2025-10-07,-0.002164480704285654,-0.003707492250961897
2025-10-08,0.05628382239643148,0.005963052412792491
2025-10-09,-0.0037767626394163978,-0.0028970083792375645
2025-10-10,-0.04641514181650286,-0.02702782789908964
2025-10-13,0.027452229613891932,0.015344074693208754
2025-10-14,-0.013238353620995236,-0.0012216548034565955
2025-10-15,0.036155061027558055,0.004439523175782778
2025-10-16,0.006494689513156571,-0.006810261153983976
2025-10-17,-0.006777537859596894,0.005676393800295942
2025-10-20,0.014672073620321857,0.010400475399621634
2025-10-21,-0.011157304722448247,-1.4904481475785936e-05
2025-10-22,-0.018629771555284225,-0.0051989069274410715
2025-10-23,0.024631644176883016,0.00592989119049947
2025-10-24,0.03769542782593471,0.008172571104630766
2025-10-27,0.029038500519103172,0.011797712023148943
2025-10-28,-0.0022857672730085543,0.002655998956591077
2025-10-29,0.026966419256962748,0.00048038703989550235
2025-10-30,-0.02566934787666353,-0.010998143937076765
2025-10-31,0.006571167015557489,0.0032800997320787673
2025-11-03,-0.002539467807965101,0.0018767772528907045
